{'loss': 0.7340164184570312, 'mean': 0.730610728263855, 'penalty': 0.003405696013942361}
{'loss': 0.7306279540061951, 'mean': 0.7272392511367798, 'penalty': 0.0033887077588588}
{'loss': 0.7378189563751221, 'mean': 0.7361327409744263, 'penalty': 0.0016862344928085804}
{'loss': 0.7471861839294434, 'mean': 0.7464209794998169, 'penalty': 0.0007652015774510801}
{'loss': 0.7001662850379944, 'mean': 0.6998077034950256, 'penalty': 0.0003585938538890332}
{'loss': 0.6597034931182861, 'mean': 0.6584014296531677, 'penalty': 0.001302089192904532}
{'loss': 0.6795315742492676, 'mean': 0.6794716119766235, 'penalty': 5.9960064390907064e-05}
{'loss': 0.702775776386261, 'mean': 0.6942688226699829, 'penalty': 0.008506964892148972}
{'loss': 0.6162827610969543, 'mean': 0.6154646873474121, 'penalty': 0.0008180883014574647}
{'loss': 0.6517245769500732, 'mean': 0.6509071588516235, 'penalty': 0.0008174405666068196}
{'loss': 0.6144827604293823, 'mean': 0.6130803823471069, 'penalty': 0.0014023608528077602}
{'loss': 0.5944592356681824, 'mean': 0.5944592356681824, 'penalty': 2.4071798776503783e-08}
{'loss': 0.6179661750793457, 'mean': 0.6168818473815918, 'penalty': 0.001084325136616826}
{'loss': 0.5664204955101013, 'mean': 0.5659119486808777, 'penalty': 0.0005085368757136166}
{'loss': 0.5660725831985474, 'mean': 0.5650044679641724, 'penalty': 0.0010681073181331158}
{'loss': 0.6080511808395386, 'mean': 0.6075917482376099, 'penalty': 0.00045944101293571293}
{'loss': 0.6131542921066284, 'mean': 0.6099758148193359, 'penalty': 0.003178449347615242}
{'loss': 0.5758979320526123, 'mean': 0.5755479335784912, 'penalty': 0.0003500022867228836}
{'loss': 0.5970429182052612, 'mean': 0.5964465141296387, 'penalty': 0.0005964234005659819}
{'loss': 0.5231006145477295, 'mean': 0.5221384167671204, 'penalty': 0.0009622136130928993}
